排名,电影名称,豆瓣评分,评价人数
158,机器人之梦,9.1,449886人评价
159,大鱼,8.8,630578人评价
160,心灵奇旅,8.7,1152057人评价
161,背靠背，脸对脸,9.5,182519人评价
162,你的名字。,8.5,1603823人评价
163,血战钢锯岭,8.7,864319人评价
164,射雕英雄传之东成西就,8.7,722124人评价
165,我是山姆,9.0,379421人评价
166,阳光姐妹淘,8.8,642226人评价
167,末路狂花,9.0,355066人评价
168,恐怖直播,8.7,732946人评价
169,黑客帝国3：矩阵革命,8.8,500778人评价
170,高山下的花环,9.5,162893人评价
171,小丑,8.7,1130971人评价
172,谍影重重3,8.9,474616人评价
173,三块广告牌,8.7,925946人评价
174,电锯惊魂,8.7,618161人评价
175,无间道2,8.8,573027人评价
176,达拉斯买家俱乐部,8.8,509806人评价
177,疯狂原始人,8.7,926863人评价
178,绿里奇迹,8.9,391733人评价
179,爱在午夜降临前,8.9,479203人评价
180,疯狂的石头,8.6,932632人评价
181,雨中曲,9.1,271685人评价
182,2001太空漫游,8.9,401089人评价
183,海街日记,8.8,526409人评价
184,上帝之城,9.0,335678人评价
185,风之谷,8.9,396042人评价
186,心迷宫,8.7,623537人评价
187,英雄本色,8.6,610754人评价
188,记忆碎片,8.7,699553人评价
189,纵横四海,8.8,491433人评价
190,无敌破坏王,8.7,616409人评价
191,卢旺达饭店,8.9,369800人评价
192,恐怖游轮,8.5,1000003人评价
193,牯岭街少年杀人事件,8.9,374260人评价
194,东京教父,9.0,294693人评价
195,小偷家族,8.7,900532人评价
196,魔女宅急便,8.7,529015人评价
197,芙蓉镇,9.3,193601人评价
198,冰川时代,8.7,690229人评价
199,忠犬八公物语,9.2,220452人评价
200,岁月神偷,8.7,615285人评价
201,遗愿清单,8.7,543882人评价
202,荒蛮故事,8.7,522247人评价
203,大佛普拉斯,8.7,559827人评价
204,源代码,8.6,933218人评价
205,花束般的恋爱,8.6,839666人评价
206,白日梦想家,8.6,658516人评价
207,爱乐之城,8.4,1132649人评价
208,疯狂的麦克斯4：狂暴之路,8.7,623290人评价
209,可可西里,8.9,349336人评价
210,你看起来好像很好吃,8.9,378844人评价
211,贫民窟的百万富翁,8.6,810712人评价
212,波西米亚狂想曲,8.6,696430人评价
213,城市之光,9.3,174844人评价
214,爆裂鼓手,8.6,697313人评价
215,哈利·波特与死亡圣器(上),8.6,702737人评价
216,大红灯笼高高挂,8.8,378794人评价
217,无耻混蛋,8.7,568667人评价
218,青蛇,8.6,605365人评价
219,终结者2：审判日,8.8,389675人评价
220,东邪西毒,8.6,639193人评价
221,黑天鹅,8.6,851851人评价
222,新龙门客栈,8.7,514612人评价
223,初恋这件小事,8.5,1057088人评价
224,千钧一发,8.8,355327人评价
225,人工智能,8.7,507114人评价
226,崖上的波妞,8.6,580537人评价
227,虎口脱险,8.9,299009人评价
228,雨人,8.7,445833人评价
229,哈利·波特与凤凰社,8.6,702765人评价
230,彗星来的那一夜,8.6,692787人评价
231,罗生门,8.8,361549人评价
232,海边的曼彻斯特,8.6,660350人评价
233,恋恋笔记本,8.5,755510人评价
234,火星救援,8.5,845861人评价
235,真爱至上,8.5,812421人评价
236,黑客帝国2：重装上阵,8.7,459429人评价
237,冰雪奇缘,8.5,840487人评价
238,步履不停,8.8,331616人评价
239,千年女优,8.8,321221人评价
240,奇迹男孩,8.6,604181人评价
241,谍影重重2,8.7,403472人评价
242,蜘蛛侠：平行宇宙,8.6,763087人评价
243,战争之王,8.7,418883人评价
244,攻壳机动队,9.0,221398人评价
245,血钻,8.7,424817人评价
246,小姐,8.5,584493人评价
247,血观音,8.6,572559人评价
248,隐藏人物,8.9,276425人评价
249,魂断蓝桥,8.8,312985人评价
250,房间,8.7,402317人评价
